Name,Address,Category,City,Description,MapsURL
🍜 The Pizza Bar On 38th,"2-1-1 Nihonbashi-Muromachi, Chuo, Tokyo (Mandarin Oriental, 38F)",Dining,Tokyo,"Mitsukoshimae Stn (1 min). Eight-seat counter, reservations open 1 month ahead — book the second the slot opens.  •  📍 Open in Google Maps: https://www.google.com/maps/place/The+Pizza+Bar+On+38th/data=!4m2!3m1!1s0x6018895562e77a3b:0xe3c077a9dbbe0dcd",https://www.google.com/maps/place/The+Pizza+Bar+On+38th/data=!4m2!3m1!1s0x6018895562e77a3b:0xe3c077a9dbbe0dcd
🍜 ぎょうざのみっちー 中央駅店,"1-1 Chuocho, Kagoshima 890-0053",Dining,Kagoshima,"Kagoshima-Chuo Stn (2 min). Order the iron-plate gyoza set; cash only, opens 17:00.  •  📍 Open in Google Maps: https://www.google.com/maps/place/%E3%81%8E%E3%82%87%E3%81%86%E3%81%96%E3%81%AE%E3%81%BF%E3%81%A3%E3%81%A1%E3%83%BC+%E4%B8%AD%E5%A4%AE%E9%A7%85%E5%BA%97/data=!4m2!3m1!1s0x353e6722438bc273:0x618f8382f38ed11a",https://www.google.com/maps/place/%E3%81%8E%E3%82%87%E3%81%86%E3%81%96%E3%81%AE%E3%81%BF%E3%81%A3%E3%81%A1%E3%83%BC+%E4%B8%AD%E5%A4%AE%E9%A7%85%E5%BA%97/data=!4m2!3m1!1s0x353e6722438bc273:0x618f8382f38ed11a
🍜 Kagoshima Furusato Yataimura Area Li-Ka,"6-4 Chuocho, Kagoshima (Li-Ka 1920 B1)",Dining,Kagoshima,Kagoshima-Chuo Stn (3 min). 25 yatai under one roof — perfect for the group; arrive by 18:00 to claim seats.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Kagoshima+Furusato+Yataimura+Area+Li-Ka/data=!4m2!3m1!1s0x353e67c0cdd63f6b:0xf9dfccce3c3fdd9e,https://www.google.com/maps/place/Kagoshima+Furusato+Yataimura+Area+Li-Ka/data=!4m2!3m1!1s0x353e67c0cdd63f6b:0xf9dfccce3c3fdd9e
🍜 Kagoshima Furusato Yataimura BUSCHIKA,"6-4 Chuocho, Kagoshima (Li-Ka 1920 B1)",Dining,Kagoshima,Kagoshima-Chuo Stn (3 min). Kurobuta shabu stall — Brady safe (no egg); ask for soy-based dashi for Cody/JJ.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Kagoshima+Furusato+Yataimura+BUSCHIKA/data=!4m2!3m1!1s0x353e674c62a6f6fb:0x997410bbd0bf128e,https://www.google.com/maps/place/Kagoshima+Furusato+Yataimura+BUSCHIKA/data=!4m2!3m1!1s0x353e674c62a6f6fb:0x997410bbd0bf128e
🍜 Otachidokoro Sushi Ki,"5-9-19 Ginza, Chuo, Tokyo",Dining,Tokyo,Ginza Stn (3 min). Standing-only Edomae omakase ~¥3000; line forms 15 min before open.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Otachidokoro+Sushi+Ki/data=!4m2!3m1!1s0x60010918b92ec009:0x1445c198430d82b8,https://www.google.com/maps/place/Otachidokoro+Sushi+Ki/data=!4m2!3m1!1s0x60010918b92ec009:0x1445c198430d82b8
🍜 Gyukatsu Motomura,"3-18-10 Shinbashi, Minato, Tokyo (basement)",Dining,Tokyo,Shinbashi Stn (4 min). Original branch — sear the wagyu cutlet 10 sec/side on the lava stone; expect 30-min queue.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Gyukatsu+Motomura/data=!4m2!3m1!1s0x6001090007cf1b6f:0x1aa3b00a872e2ad3,https://www.google.com/maps/place/Gyukatsu+Motomura/data=!4m2!3m1!1s0x6001090007cf1b6f:0x1aa3b00a872e2ad3
🍜 Kyoto Tonkatsu Katsuda Shijokarasuma,"21 Shijoagaru Naginatabokocho, Shimogyo-ku, Kyoto",Dining,Kyoto,Karasuma Stn (1 min). Lunch sets ¥1500 with miso/red-miso choice; line by 11:30.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Kyoto+Tonkatsu+Katsuda+Shijokarasuma/data=!4m2!3m1!1s0x600109e588185ff9:0xaf237f6e37cb19c0,https://www.google.com/maps/place/Kyoto+Tonkatsu+Katsuda+Shijokarasuma/data=!4m2!3m1!1s0x600109e588185ff9:0xaf237f6e37cb19c0
🍜 Gion Duck Noodles Arashiyama,"20-1 Sagatenryuji Tsukurimichicho, Ukyo-ku, Kyoto",Dining,Kyoto,Saga-Arashiyama Stn (5 min). Duck shoyu ramen — heads-up Cody/JJ: broth is poultry-based (no fish dashi).  •  📍 Open in Google Maps: https://www.google.com/maps/place/Gion+Duck+Noodles+Arashiyama/data=!4m2!3m1!1s0x6001a93798a692c7:0xc241920f2e64040e,https://www.google.com/maps/place/Gion+Duck+Noodles+Arashiyama/data=!4m2!3m1!1s0x6001a93798a692c7:0xc241920f2e64040e
🍜 Steak Otsuka,"46-1 Sagatenryuji Susukinobabacho, Ukyo-ku, Kyoto",Dining,Kyoto,"Saga-Arashiyama Stn (4 min). Wagyu lunch set ¥3800; reserve same-morning by phone, no walk-ins after 11:30.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Steak+Otsuka/data=!4m2!3m1!1s0x6001a9f8c9eb5b79:0x9c02c21d67c6fb99",https://www.google.com/maps/place/Steak+Otsuka/data=!4m2!3m1!1s0x6001a9f8c9eb5b79:0x9c02c21d67c6fb99
🍜 Kijurou,"47 Sagatenryuji Tsukurimichicho, Ukyo-ku, Kyoto",Dining,Kyoto,Saga-Arashiyama Stn (3 min). Hidden tempura counter on bamboo path; the anago course is the play.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Kijurou/data=!4m2!3m1!1s0x6001a9d80cae2f3b:0xcaff64680556a1aa,https://www.google.com/maps/place/Kijurou/data=!4m2!3m1!1s0x6001a9d80cae2f3b:0xcaff64680556a1aa
