Name,Address,Category,City,Description,MapsURL
🍜 The Pizza Bar On 38th,"2-1-1 Nihonbashi-Muromachi, Chuo, Tokyo (Mandarin Oriental, 38F)",Dining,Tokyo,"Mitsukoshimae Stn (1 min). Eight-seat counter, reservations open 1 month ahead — book the second the slot opens.  •  📍 Open in Google Maps: https://www.google.com/maps/place/The+Pizza+Bar+On+38th/data=!4m2!3m1!1s0x6018895562e77a3b:0xe3c077a9dbbe0dcd",https://www.google.com/maps/place/The+Pizza+Bar+On+38th/data=!4m2!3m1!1s0x6018895562e77a3b:0xe3c077a9dbbe0dcd
🍜 Otachidokoro Sushi Ki,"5-9-19 Ginza, Chuo, Tokyo",Dining,Tokyo,Ginza Stn (3 min). Standing-only Edomae omakase ~¥3000; line forms 15 min before open.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Otachidokoro+Sushi+Ki/data=!4m2!3m1!1s0x60010918b92ec009:0x1445c198430d82b8,https://www.google.com/maps/place/Otachidokoro+Sushi+Ki/data=!4m2!3m1!1s0x60010918b92ec009:0x1445c198430d82b8
🍜 Gyukatsu Motomura,"3-18-10 Shinbashi, Minato, Tokyo (basement)",Dining,Tokyo,Shinbashi Stn (4 min). Original branch — sear the wagyu cutlet 10 sec/side on the lava stone; expect 30-min queue.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Gyukatsu+Motomura/data=!4m2!3m1!1s0x6001090007cf1b6f:0x1aa3b00a872e2ad3,https://www.google.com/maps/place/Gyukatsu+Motomura/data=!4m2!3m1!1s0x6001090007cf1b6f:0x1aa3b00a872e2ad3
🍜 Curry Station Niagara,"3-22-13 Hiroo, Shibuya, Tokyo",Dining,Tokyo,Hiroo Stn (5 min). Train-themed curry shop — plates arrive by mini locomotive; cash only.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Curry+Station+Niagara/data=!4m2!3m1!1s0x60188b4af5ce3a0f:0x8cac56d67d098d89,https://www.google.com/maps/place/Curry+Station+Niagara/data=!4m2!3m1!1s0x60188b4af5ce3a0f:0x8cac56d67d098d89
🏯 PokéPark Kanto,"Yomiuri Land, 4015-1 Yanokuchi, Inagi, Tokyo",Sightseeing,Tokyo,Yomiuriland-mae Stn. Opens spring 2026 — book timed-entry the moment it goes live.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Pok%C3%A9Park+Kanto/data=!4m2!3m1!1s0x6018fb2f0e9098ab:0x3ac8b697f2a3589c,https://www.google.com/maps/place/Pok%C3%A9Park+Kanto/data=!4m2!3m1!1s0x6018fb2f0e9098ab:0x3ac8b697f2a3589c
🛍️ TAKEO KIKUCHI,"Shibuya Parco 4F, 15-1 Udagawacho, Shibuya, Tokyo",Shopping,Tokyo,Shibuya Stn (5 min). Japanese tailoring — main flagship inside Parco.  •  📍 Open in Google Maps: https://www.google.com/maps/place/TAKEO+KIKUCHI/data=!4m2!3m1!1s0x60188ca86b0df3db:0x885f994435138e02,https://www.google.com/maps/place/TAKEO+KIKUCHI/data=!4m2!3m1!1s0x60188ca86b0df3db:0x885f994435138e02
🛍️ TAKEO KIKUCHI,"Shibuya Parco 4F, 15-1 Udagawacho, Shibuya, Tokyo",Shopping,Tokyo,Shibuya Stn (5 min). Japanese tailoring — main flagship inside Parco.  •  📍 Open in Google Maps: https://www.google.com/maps/place/TAKEO+KIKUCHI/data=!4m2!3m1!1s0x60188ea001096719:0xd48bf123218db1f8,https://www.google.com/maps/place/TAKEO+KIKUCHI/data=!4m2!3m1!1s0x60188ea001096719:0xd48bf123218db1f8
🛍️ Kapital,"2-20-2 Higashi, Shibuya, Tokyo",Shopping,Tokyo,"Ebisu Stn (10 min). Three Ebisu storefronts within a block — start at 'Legs', end at 'Country'.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Kapital/data=!4m2!3m1!1s0x60188b3fbc5e7fdd:0x30a327453527f19e",https://www.google.com/maps/place/Kapital/data=!4m2!3m1!1s0x60188b3fbc5e7fdd:0x30a327453527f19e
🛍️ mont-bell Shibuya,"11-3 Udagawacho, Shibuya, Tokyo",Shopping,Tokyo,Shibuya Stn (5 min). Cheaper than US prices; tax-free desk on 1F (passport needed).  •  📍 Open in Google Maps: https://www.google.com/maps/place/mont-bell+Shibuya/data=!4m2!3m1!1s0x60188ca93864d0d7:0xa311ee2a69accd57,https://www.google.com/maps/place/mont-bell+Shibuya/data=!4m2!3m1!1s0x60188ca93864d0d7:0xa311ee2a69accd57
🛍️ mont-bell Okachimachi Store,"5-10-5 Ueno, Taito, Tokyo",Shopping,Tokyo,Okachimachi Stn (3 min). Largest Tokyo branch — full UL Pack lineup in stock.  •  📍 Open in Google Maps: https://www.google.com/maps/place/mont-bell+Okachimachi+Store/data=!4m2!3m1!1s0x60188ea01376dc31:0xef53753108c20a2c,https://www.google.com/maps/place/mont-bell+Okachimachi+Store/data=!4m2!3m1!1s0x60188ea01376dc31:0xef53753108c20a2c
🛍️ mont-bell Tokyo Kyobashi,"3-1-1 Kyobashi, Chuo, Tokyo",Shopping,Tokyo,Kyobashi Stn (1 min). Quietest of the three; great for trying-on without crowds.  •  📍 Open in Google Maps: https://www.google.com/maps/place/mont-bell+Tokyo+Kyobashi/data=!4m2!3m1!1s0x60188be372353d69:0xfb583fcec3cd7b9a,https://www.google.com/maps/place/mont-bell+Tokyo+Kyobashi/data=!4m2!3m1!1s0x60188be372353d69:0xfb583fcec3cd7b9a
🛍️ MOMOTARO JEANS Aoyama,"5-8-5 Minami-Aoyama, Minato, Tokyo",Shopping,Tokyo,Omotesando Stn (5 min). Selvedge denim from Kojima — they hem on-site in 30 min.  •  📍 Open in Google Maps: https://www.google.com/maps/place/MOMOTARO+JEANS+Aoyama/data=!4m2!3m1!1s0x60188b5ff62dc42d:0xe65fa7032da1d5d1,https://www.google.com/maps/place/MOMOTARO+JEANS+Aoyama/data=!4m2!3m1!1s0x60188b5ff62dc42d:0xe65fa7032da1d5d1
