Name,Address,Category,City,Description,MapsURL
🍜 PIZZERIA MAMA,"11-1 Tawarahoncho, Atami, Shizuoka",Dining,Atami,Atami Stn (3 min). Family-run wood-fired Napoletana — a sane antidote between ryokan kaiseki nights.  •  📍 Open in Google Maps: https://www.google.com/maps/place/PIZZERIA+MAMA/data=!4m2!3m1!1s0x600107f36515e387:0x65e58aec2e4d8c97,https://www.google.com/maps/place/PIZZERIA+MAMA/data=!4m2!3m1!1s0x600107f36515e387:0x65e58aec2e4d8c97
🏯 MOA Museum of Art,"26-2 Momoyamacho, Atami, Shizuoka",Sightseeing,Atami,Atami Stn + bus 8 min. Hilltop museum w/ moving escalator tunnel; National Treasures wing free w/ ticket.  •  📍 Open in Google Maps: https://www.google.com/maps/place/MOA+Museum+of+Art/data=!4m2!3m1!1s0x6019be7c174af88d:0x40dcc7041d54c2e1,https://www.google.com/maps/place/MOA+Museum+of+Art/data=!4m2!3m1!1s0x6019be7c174af88d:0x40dcc7041d54c2e1
🏯 Kiunkaku,"4-2 Showacho, Atami, Shizuoka",Sightseeing,Atami,"Atami Stn (15 min walk). 1919 villa-turned-ryokan museum; ¥610 — go early AM, near-empty.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Kiunkaku/data=!4m2!3m1!1s0x6019be6803275d81:0xe0eef8507f743b0e",https://www.google.com/maps/place/Kiunkaku/data=!4m2!3m1!1s0x6019be6803275d81:0xe0eef8507f743b0e
🏯 Atami Castle,"1993 Sokoyama, Atami, Shizuoka",Sightseeing,Atami,"Atami Stn + ropeway. Skip the museum, ride the rooftop deck for the bay panorama.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Atami+Castle/data=!4m2!3m1!1s0x6019be577c8d1903:0x1b8dad7aafa20ff",https://www.google.com/maps/place/Atami+Castle/data=!4m2!3m1!1s0x6019be577c8d1903:0x1b8dad7aafa20ff
🏯 Kawana Dolphin Beach,"1064 Kawana, Ito, Shizuoka",Sightseeing,Izu,Kawana Stn (15 min walk). Quiet cove for tide-pool browsing; weekday mornings only.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Kawana+Dolphin+Beach/data=!4m2!3m1!1s0x6019c47d52ebb793:0xd9df11608f38382f,https://www.google.com/maps/place/Kawana+Dolphin+Beach/data=!4m2!3m1!1s0x6019c47d52ebb793:0xd9df11608f38382f
🏯 Mt. Omuro Summit,"1317-5 Futo, Ito, Shizuoka",Sightseeing,Izu,Izu-Kogen Stn + bus 15 min. Take the chairlift — the crater rim walk is the photo op.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Mt.+Omuro+Summit/data=!4m2!3m1!1s0x6019c3671cc9a10d:0xe1632b89da8b59b3,https://www.google.com/maps/place/Mt.+Omuro+Summit/data=!4m2!3m1!1s0x6019c3671cc9a10d:0xe1632b89da8b59b3
🏯 Okuno Dam,"Ikeshiroyama, Ito, Shizuoka",Sightseeing,Izu,Izu-Kogen Stn + 25 min by car. Lakeside cherry walk; SUP rentals on weekends.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Okuno+Dam/data=!4m2!3m1!1s0x6019c3eaf44a7df1:0x5804e9e37c805014,https://www.google.com/maps/place/Okuno+Dam/data=!4m2!3m1!1s0x6019c3eaf44a7df1:0x5804e9e37c805014
🏯 Tatadohama beach,"Tatado, Shimoda, Shizuoka",Sightseeing,Izu,Izukyu-Shimoda Stn + bus 15 min. Best surf beach in southern Izu — sunset session > swim.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Tatadohama+beach/data=!4m2!3m1!1s0x601758efafafcd6b:0xbc85bca66662aa5f,https://www.google.com/maps/place/Tatadohama+beach/data=!4m2!3m1!1s0x601758efafafcd6b:0xbc85bca66662aa5f
🏯 Perry Road,"3 Chome Shimoda, Shizuoka",Sightseeing,Izu,Izukyu-Shimoda Stn (10 min). Willow-lined canal walk through Edo merchant houses; pop into Babanote café.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Perry+Road/data=!4m2!3m1!1s0x601759a1ad8fb785:0xc2897e2eee52385b,https://www.google.com/maps/place/Perry+Road/data=!4m2!3m1!1s0x601759a1ad8fb785:0xc2897e2eee52385b
🚉 Shimoda Ropeway Summit Station (Nesugatayama Station),"1-3-2 Higashihongo, Shimoda, Shizuoka",Transit,Izu,Izukyu-Shimoda Stn (1 min). 4-min ropeway to bay viewpoint; first car at 8:45.  •  📍 Open in Google Maps: https://www.google.com/maps/place/Shimoda+Ropeway+Summit+Station+(Nesugatayama+Station)/data=!4m2!3m1!1s0x601758b712e95555:0xef57ed6f66a38fe7,https://www.google.com/maps/place/Shimoda+Ropeway+Summit+Station+(Nesugatayama+Station)/data=!4m2!3m1!1s0x601758b712e95555:0xef57ed6f66a38fe7
